RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
97564,94109,14,"San Francisco, CA",2290,2336,2382,2428,2473,2518,2563,2608,2652,2697,2740,2782,2824,2861,2897,2934,2962,2990,3019,3037,3055,3072,3077,3081,3085,3076,3067,3058,3041,3024,3007,2994,2981,2968,2963,2958,2953,2955,2957,2959,2964,2970,2976,2979,2983,2986,2988,2989,2990,2993,2995,2998,3002,3007,3011,3017,3024,3030,3038,3046,3054,3061,3067,3074,3078,3081,3085,3084,3084,3083,3071,3059,3047,3018,2989,2960,2920,2879,2838,2796,2755,2713,2693,2674,2654,2645,2635,2626,2619,2613,2606,2603,2600
96107,90250,23,"Los Angeles-Long Beach-Anaheim, CA",1081,1084,1087,1090,1094,1097,1101,1104,1108,1111,1116,1121,1125,1132,1140,1147,1155,1164,1173,1182,1191,1200,1210,1219,1229,1240,1251,1262,1273,1284,1296,1308,1320,1333,1345,1358,1371,1381,1392,1403,1411,1420,1429,1436,1444,1451,1458,1466,1473,1481,1489,1497,1505,1513,1521,1529,1537,1545,1552,1559,1567,1574,1580,1587,1594,1600,1607,1612,1618,1623,1627,1631,1635,1639,1642,1646,1650,1654,1658,1662,1667,1672,1678,1683,1689,1696,1702,1708,1715,1721,1727,1734,1740
97771,94565,41,"San Francisco, CA",1451,,,1501,1518,1534,1550,1566,1581,1597,1611,1625,1639,1649,1659,1669,1677,1685,1692,1703,1714,1724,1737,1751,1764,1778,1791,1805,1822,1838,1855,1869,1883,1898,1908,1919,1929,1941,1953,1964,1974,1985,1995,2005,2015,2025,2035,2046,2056,2066,2075,2085,2097,2109,2120,2134,2148,2161,2176,2190,2204,2214,2225,2235,2242,2249,2256,2263,2269,2276,2282,2288,2295,2304,2312,2321,2330,2339,2347,2355,2363,2371,2386,2400,2415,2432,2449,2466,2483,2500,2518,2536,2555
96027,90046,45,"Los Angeles-Long Beach-Anaheim, CA",1705,1726,1747,1769,1788,1808,1828,1847,1866,1885,1899,1914,1928,1937,1947,1957,1968,1980,1992,2007,2021,2036,2051,2066,2081,2091,2101,2111,2120,2129,2138,2147,2157,2166,2174,2182,2190,2199,2208,2217,2225,2232,2240,2246,2252,2257,2266,2275,2284,2294,2304,2314,2323,2332,2341,2348,2355,2362,2367,2372,2377,2382,2386,2391,2394,2398,2402,2405,2408,2411,2410,2408,2407,2401,2395,2389,2381,2374,2366,2361,2355,2349,2353,2356,2359,2367,2374,2382,2391,2400,2409,2419,2429
97711,94501,89,"San Francisco, CA",1681,1697,1713,1729,,1760,1776,1792,1807,1823,1838,1852,1867,1884,1901,1919,1935,1952,1969,1982,1995,2008,2017,2026,2036,2040,2045,2050,2055,2059,2064,2072,2080,2087,2096,2104,2113,2119,2126,2133,2136,2140,2144,2147,2151,2155,2163,2170,2178,2190,2202,2214,2226,2238,2250,2259,2269,2278,2282,2287,2291,2292,2293,2294,2296,2297,2299,2300,2301,2302,2303,2304,2305,2305,2305,2305,2304,2304,2303,2304,2306,2308,2312,2317,2321,2328,2334,2340,2346,2353,2359,2366,2373
97565,94110,95,"San Francisco, CA",2934,,3050,3107,,3219,3275,3330,3385,3440,3489,3539,,3620,3652,3684,3703,3722,3742,3753,3764,3776,3777,3778,3779,3776,3772,3769,3769,3768,3767,3769,3770,3771,3774,3776,3779,3779,3780,3781,3778,3776,3773,3772,3770,3768,3769,3770,3771,3777,3784,3790,3798,3806,3814,3822,3829,3836,3844,3852,3860,3869,3877,3886,3897,3908,3918,3928,3937,3946,3939,3932,3925,3895,3865,3834,3786,3738,3689,3643,3597,3550,3532,3514,3496,3488,3481,3473,3469,3466,3462,3462,3462
96015,90034,100,"Los Angeles-Long Beach-Anaheim, CA",1577,1596,1615,1634,1652,1671,1689,1707,1725,1744,1758,1772,1787,1797,1808,1819,1826,1833,1840,1850,1859,1868,1883,1898,1912,1927,1942,1957,1971,1985,1999,2010,2021,2032,2038,2045,2052,2058,2065,2071,2080,2088,2096,2104,2112,2121,2128,2136,2144,2152,2161,2170,2179,2188,2197,2205,2214,2223,2231,2239,2247,2253,2259,2265,2269,2273,2277,2279,2281,2282,2281,2281,2280,2273,2266,2260,2247,2233,2220,2207,2193,2180,2176,2172,2167,2168,2169,2170,2172,2174,2177,2181,2184
98325,95630,104,"Sacramento, CA",1590,1594,1598,1602,1606,1610,1613,1617,1621,1625,1629,1634,1638,1642,1647,1651,1656,1661,1666,1673,1679,1685,1693,1700,1707,1715,1723,1731,1739,1747,1755,1764,1774,1783,1792,1802,1812,1821,1831,1840,1850,1859,1869,1877,1886,1895,1902,1909,1916,1923,1930,1937,1944,1951,1958,1963,1969,1975,1980,1986,1991,1996,2002,2007,2012,2018,2023,2027,2032,2036,2039,2041,2044,2047,2050,2054,2060,2066,2072,2085,2098,2111,2135,2160,2184,2212,2239,2267,2296,2324,2353,2382,2411
96239,90805,113,"Los Angeles-Long Beach-Anaheim, CA",964,978,992,1006,1020,1034,1049,1064,1079,1094,1110,1126,1141,1153,1165,1176,1185,1194,1203,1210,1217,1225,1230,1236,1242,1249,1255,1262,1268,1273,1279,1283,1286,1290,1296,1302,1308,1315,1323,1331,1339,1348,1356,1364,1373,1381,1389,1398,1406,1416,1426,1436,1447,1457,1468,1477,1485,1494,1502,1510,1518,1526,1534,1542,1550,1558,1567,1576,1586,1596,1604,1612,1620,1624,1629,1633,1637,1640,1644,1647,1651,1654,1657,1659,1662,1665,1668,1671,1674,1677,1680,1683,1686
96193,90650,115,"Los Angeles-Long Beach-Anaheim, CA",,1603,1607,1612,1617,1622,1627,1631,1636,1641,1647,1653,1660,1668,1677,1685,1691,,1704,1711,1719,1727,1737,1748,1759,1766,1774,1782,1787,1793,1799,1803,1807,1812,1815,1819,1822,1828,1834,1840,1846,1852,1858,1863,1868,1873,1878,1883,1888,1893,1898,1904,1913,1922,1931,1940,1948,1956,1961,1965,1970,1973,1977,1981,1984,1988,1992,1997,2002,2008,2015,2022,2029,2036,2043,2049,2057,2064,2071,2080,2089,2098,2109,2120,2131,2145,2158,2172,2185,2199,2213,2226,2240
