RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
97083,93003,828,"Ventura, CA",1706,,,1729,1738,1746,1754,1762,1770,1778,,,1804,1815,1825,1835,1844,1853,1862,1869,1876,1884,1891,1898,1906,1913,1921,1928,1937,1946,1954,1962,1970,1978,1987,1995,2003,2010,2018,2026,2033,2039,2045,2053,2061,2069,2078,2087,2096,2105,2115,2125,2134,2144,2153,2163,2174,2184,2193,2201,2209,2213,2217,,2225,2229,2233,2233,2232,2232,2230,2229,2228,2232,2236,2240,2249,2258,2267,2284,2300,2317,2340,2363,2387,2409,2432,2455,2477,2500,2523,2546,2569
97116,93063,915,"Ventura, CA",2003,1999,1995,,1987,1983,1979,1976,1973,1969,,1968,1967,1972,,1982,1991,2001,2010,2022,2033,2044,2056,2068,2079,2092,2104,2117,2136,2156,2176,2193,2209,2226,2235,2243,2251,2256,2260,2265,2264,2264,2263,2265,2267,2270,2279,2288,2297,2307,2317,2326,2335,2343,2351,2359,2366,2374,2381,2388,2395,2403,2412,2420,2429,2438,2447,2450,2454,2457,2459,2461,2463,2465,2467,2469,2470,2471,2472,2485,2498,2512,2533,2555,2576,2598,2619,2641,2664,2687,2710,2733,2757
97089,93010,1441,"Ventura, CA",1681,1684,1687,1690,1694,1697,1700,1704,1707,1711,1718,,1732,1741,1751,1760,1768,1776,1784,1792,1800,1808,1815,1822,1829,1833,1836,1840,1843,1845,1847,1851,1854,1857,1862,1867,1872,1879,1886,1892,1902,1912,1921,1931,1940,1949,1957,1964,1972,1979,1987,1994,2002,2010,2018,2023,2028,2033,2036,2039,2043,2046,2050,2054,2060,2067,2073,2082,2091,2100,2107,2113,2120,2124,2127,2130,2132,2134,2135,2143,2150,2158,2179,2200,2220,2245,2269,2293,2318,2344,2369,2395,2422
96351,91320,1836,"Ventura, CA",2469,2476,,2489,2495,2502,2509,2517,2524,2531,2542,2553,2564,2573,2582,,2596,2602,2608,2614,2620,2626,2632,2638,2644,2650,2655,2660,2655,2651,2646,2639,2632,2625,2629,2634,,,2660,2671,2692,2713,2734,2754,2775,2795,2801,2807,2813,2819,2825,2831,2842,2853,2863,2883,2903,2923,2941,2958,2976,2983,2991,2998,2997,2996,2996,2990,2984,2978,2975,2973,2970,2973,2977,2980,2990,3001,3012,3024,3037,3049,3073,3097,3120,3149,,3207,3237,3266,3296,3326,3357
97091,93012,2364,"Ventura, CA",2087,2094,2101,2109,2116,2124,2132,2140,2148,2156,2165,2173,2182,2194,2207,2219,2231,2243,2255,2265,2276,2286,2295,2305,2314,2324,2334,2343,2351,2358,2365,2375,2384,2394,2404,2414,2423,2430,2437,2443,2451,2458,2466,2471,2475,2480,2483,2486,2488,2494,2500,2506,2513,2520,2527,2534,2542,2550,2560,2571,2582,2591,2601,2611,2619,2626,2634,2639,2645,2650,2652,2654,2656,2657,2658,2659,2665,2671,2676,2690,2704,2718,2743,2767,2791,2819,2847,2875,2904,2933,2962,2992,3022
96385,91362,2367,"Ventura, CA",2413,,2441,2455,2467,2480,2493,2506,2519,2532,2542,2552,2562,2571,2580,2589,2600,2611,2622,2633,2644,2655,2664,2673,2683,2689,2695,2701,2705,2709,2713,2718,2724,2729,2733,2738,2742,2746,2749,2753,2755,2757,2760,2763,2766,2770,2774,2779,2784,2792,2800,2808,2823,2837,2851,2863,2875,2887,2892,2897,2902,2905,2908,2910,2907,2905,2902,2900,2897,2894,2897,2899,2902,2905,2908,2912,2922,2933,2943,2958,2973,2989,3012,3036,3060,3090,3120,3150,3181,3212,3242,3273,3305
97081,93001,2608,"Ventura, CA",1711,1720,1729,1737,1747,1756,1766,1775,1785,1794,1807,1819,1832,1845,1857,1870,1880,1889,1899,1908,1916,1925,1939,1953,1967,1981,1995,2010,2023,2036,2049,2059,2069,2079,2083,2087,2090,2094,2098,2101,2109,2116,2124,2136,2149,2162,2176,2190,2203,2216,2229,2242,2252,2262,2271,2279,2286,2293,2299,2305,2310,2314,2318,2322,2327,2332,2338,2342,2347,2351,2358,2365,2372,2385,2399,2413,2428,2442,2457,2472,2487,2503,2523,2543,2563,2584,2606,2627,2648,2670,2691,2713,2735
97106,93035,3480,"Ventura, CA",,1850,1866,,1898,1915,1932,,1966,1984,,2018,2035,2051,2064,2078,2092,2101,2110,2120,2121,2123,2124,2126,2128,2129,2136,2143,2150,2160,2171,2181,2195,2209,2223,2231,2240,2249,2257,2265,2273,2287,2301,2315,2333,2351,2368,2391,2413,2435,2453,2471,2489,2493,2498,2503,2501,2500,2498,2496,2493,2491,2495,2499,2503,2511,2519,2528,2532,2536,2540,2545,2550,2554,2564,2574,2584,2599,2614,2628,2653,2678,2703,2730,2757,2785,2811,2838,2865,2891,2918,2944,2971
96384,91361,4840,"Ventura, CA",,,2252,,2280,2293,2307,2320,2333,2347,2360,2370,,2390,2400,2410,2420,2434,2447,2461,2472,2483,2495,,2505,2510,2514,2519,2523,2530,2536,2543,2556,2568,2581,2598,2615,2632,2648,2663,2678,2688,2699,2709,2716,2723,2731,2737,2744,2751,2759,2767,2775,2788,2800,2812,2825,2839,2852,2862,2872,2881,2889,2897,2904,2911,2918,2925,2928,2931,2934,2937,2939,2942,2948,2954,2960,2968,2975,2983,3001,3020,3038,3075,3112,3149,3188,3226,3264,3304,3344,3384,3426
96393,91377,6674,"Ventura, CA",,2152,2149,2146,,2141,2139,2137,2136,2134,2139,2143,2147,2155,2163,2171,2180,2189,2198,2205,2211,2217,2220,,2227,2232,2237,2242,2253,2263,2273,2288,2303,2317,2331,2345,2359,2368,2377,2386,2390,2395,2399,2402,2405,2408,2411,2413,2416,2421,2426,2432,2439,2447,2454,2461,2468,2475,2484,2492,2500,2506,2512,2518,2521,2525,2528,2531,2533,2536,2538,2540,2543,2547,2550,2554,2562,2570,2577,2592,2606,2620,2645,2670,2695,2721,2748,2775,2803,2830,2858,2887,2916
